Strain	Admin Division	Division of exposure	gisaid_epi_isl	Originating Lab	Region	Region of exposure	Submitting Lab	Author
Thailand/Bangkok_323/2020	Bangkok	Bangkok	EPI_ISL_447916		Asia	Asia	National Institute of Health. Department of medical Sciences, Ministry of Public Health, Thailand	Pilailuk et al A
Taiwan/TSGH-17/2020	New Taipei City	New Taipei City	EPI_ISL_436102	TSGH-CP molecular lab	Asia	Asia	TSGH-CP molecular lab	Cherng-Lih Perng et al
Sweden/01/2020	Europe	Europe	EPI_ISL_411951		Europe	Europe	Unit for Laboratory Development and Technology Transfer, Public Health Agency of Sweden	Bengner et al (https://dx.doi.org/10.2807/1560-7917.ES.2020.25.13.2000305)
HongKong/HKPU48-0202/2020	Hong Kong	Hong Kong	EPI_ISL_419222	Department of Pathology, Princess Margaret Hospital	Asia	Asia	Department of Health Technology and Informatics, Faculty of Health and Social Science, The Hong Kong Polytechnic University	Kenneth Siu-Sing LEUNG et al (https://dx.doi.org/10.1101/2020.03.30.20045740)
HongKong/HKPU54-0302/2020	Hong Kong	Hong Kong	EPI_ISL_419226	Department of Clinical Pathology, Pamela Youde Nethersole Eastern Hospital	Asia	Asia	Department of Health Technology and Informatics, Faculty of Health and Social Science, The Hong Kong Polytechnic University	Kenneth Siu-Sing LEUNG et al (https://dx.doi.org/10.1101/2020.03.30.20045740)
HongKong/HKPU61-0202/2020	Hong Kong	Hong Kong	EPI_ISL_419229	Department of Clinical Pathology, Pamela Youde Nethersole Eastern Hospital	Asia	Asia	Department of Health Technology and Informatics, Faculty of Health and Social Science, The Hong Kong Polytechnic University	Kenneth Siu-Sing LEUNG et al (https://dx.doi.org/10.1101/2020.03.30.20045740)
HongKong/HKPU53-0802/2020	Hong Kong	Hong Kong	EPI_ISL_419225	Department of Clinical Pathology, Pamela Youde Nethersole Eastern Hospital	Asia	Asia	Department of Health Technology and Informatics, Faculty of Health and Social Science, The Hong Kong Polytechnic University	Kenneth Siu-Sing LEUNG et al (https://dx.doi.org/10.1101/2020.03.30.20045740)
Wuhan/WH05/2020	Hubei	Hubei	EPI_ISL_408978	Wuhan Fourth Hospital	Asia	Asia	Beijing Genomics Institute (BGI)	Weijun Chen et al B
HongKong/HKPU42-0302/2020	Hong Kong	Hong Kong	EPI_ISL_419217	Department of Pathology, Princess Margaret Hospital	Asia	Asia	Department of Health Technology and Informatics, Faculty of Health and Social Science, The Hong Kong Polytechnic University	Kenneth Siu-Sing LEUNG et al (https://dx.doi.org/10.1101/2020.03.30.20045740)
Shanghai/SH0037/2020	Shanghai	Shanghai	EPI_ISL_416346	Shanghai Public Health Clinical Center, Shanghai Medical College, Fudan University	Asia	Asia	National Research Center for Translational Medicine (Shanghai), Ruijin Hospital affiliated to Shanghai Jiao Tong University School of Medicine & Shanghai Public Health Clinical Center	Shengyue Wang et al
HongKong/HKPU2_1801/2020	Hong Kong	Hong Kong	EPI_ISL_417177	Department of Pathology, Princess Margaret Hospital	Asia	Asia	Department of Health Technology and Informatics, Faculty of Health and Social Science, The Hong Kong Polytechnic University	Kenneth Siu-Sing LEUNG et al (https://dx.doi.org/10.1101/2020.03.30.20045740)
HongKong/HKPU20_3001/2020	Hong Kong	Hong Kong	EPI_ISL_417182	Department of Pathology, United Christian Hospital	Asia	Asia	Department of Health Technology and Informatics, Faculty of Health and Social Science, The Hong Kong Polytechnic University	Kenneth Siu-Sing LEUNG et al (https://dx.doi.org/10.1101/2020.03.30.20045740)
Beijing/BJ710/2020	Beijing	Beijing	EPI_ISL_430740	Chinese PLA Institute for Disease Control and Prevention	Asia	Asia	Chinese PLA Institute for Disease Control and Prevention	Peng Li et al
Beijing/BJ709/2020	Beijing	Beijing	EPI_ISL_430729	Chinese PLA Institute for Disease Control and Prevention	Asia	Asia	Chinese PLA Institute for Disease Control and Prevention	Peng Li et al
Shanghai/SH0098/2020	Shanghai	Shanghai	EPI_ISL_416391	Shanghai Public Health Clinical Center, Shanghai Medical College, Fudan University	Asia	Asia	National Research Center for Translational Medicine (Shanghai), Ruijin Hospital affiliated to Shanghai Jiao Tong University School of Medicine & Shanghai Public Health Clinical Center	Shengyue Wang et al
Shanghai/SH0012/2020	Shanghai	Shanghai	EPI_ISL_416325	Shanghai Public Health Clinical Center, Shanghai Medical College, Fudan University	Asia	Asia	National Research Center for Translational Medicine (Shanghai), Ruijin Hospital affiliated to Shanghai Jiao Tong University School of Medicine & Shanghai Public Health Clinical Center	Shengyue Wang et al
Thailand/SI200383-NT/2020	Thailand	Thailand	EPI_ISL_437622		Asia	Asia	Faculty of Medicine	Rodpan et al
Thailand/NIH-190/2020	Nonthaburi	Nonthaburi	EPI_ISL_434695		Asia	Asia	National Institute of Health. Department of medical Sciences, Ministry of Public Health, Thailand	Pilailuk et al A
Guangdong/20SF753/2020	Guangdong	Guangdong	EPI_ISL_428472	Guangdong Provincial Center for Diseases Control and Prevention;Guangdong Provincial Institute of Public Health	Asia	Asia	School of Public Health, The University of Hong Kong	Bosheng Li et al
Taiwan/2/2020	Taiwan	Taiwan	EPI_ISL_406031	Centers for Disease Control, R.O.C. (Taiwan)	Asia	Asia	Centers for Disease Control, R.O.C. (Taiwan)	Ji-Rong Yang et al B (https://dx.doi.org/10.1099/acmi.0.000133)
Thailand/Samutprakarn_840/2020	Samut Prakarn	Samut Prakarn	EPI_ISL_447919		Asia	Asia	National Institute of Health. Department of medical Sciences, Ministry of Public Health, Thailand	Pilailuk et al A
Thailand/SI201712-NT/2020	Thailand	Thailand	EPI_ISL_437617		Asia	Asia	Faculty of Medicine	Rodpan et al
Jian/JX169/2020	Jiangxi	Jiangxi	EPI_ISL_421256	Jiangxi Province Center for Disease Control and Prevention	Asia	Asia	Jiangxi Province Center for Disease Control and Prevention	JianXiong Li et al
SouthKorea/KUMC01/2020	South Korea	South Korea	EPI_ISL_413017	Department of Microbiology, Institute for Viral Diseases, College of Medicine, Korea University	Asia	Asia	Department of Microbiology, Institute for Viral Diseases, College of Medicine, Korea University	Changmin Kang et al
SouthKorea/KUMC02/2020	South Korea	South Korea	EPI_ISL_413018	Department of Microbiology, Institute for Viral Diseases, College of Medicine, Korea University	Asia	Asia	Department of Microbiology, Institute for Viral Diseases, College of Medicine, Korea University	Changmin Kang et al
HongKong/HKPU19_0402/2020	Hong Kong	Hong Kong	EPI_ISL_417181	Department of Pathology, United Christian Hospital	Asia	Asia	Department of Health Technology and Informatics, Faculty of Health and Social Science, The Hong Kong Polytechnic University	Kenneth Siu-Sing LEUNG et al (https://dx.doi.org/10.1101/2020.03.30.20045740)
HongKong/VM20002507-2/2020	Hong Kong	Hong Kong	EPI_ISL_414528	Hong Kong Department of Health	Asia	Asia	School of Public Health, The University of Hong Kong	Dominic N.C. Tsang et al
HongKong/VB20024950-2/2020	Hong Kong	Hong Kong	EPI_ISL_412029	Hong Kong Department of Health	Asia	Asia	The University of Hong Kong	Dominic N.C. Tsang et al
HongKong/CUHK1/2020	Hong Kong	Hong Kong	EPI_ISL_416314	Department of Microbiology, Faculty of Medicine, The Chinese University of Hong Kong, Hong Kong SAR, China	Asia	Asia	Department of Microbiology, Faculty of Medicine, Chinese University of Hong Kong, Hong Kong SAR, China	Zigui Chen et al
HongKong/HKPU102_2802/2020	Hong Kong	Hong Kong	EPI_ISL_420455	Department of Clinical Pathology, Pamela Youde Nethersole Eastern Hospital	Asia	Asia	Department of Health Technology and Informatics, Faculty of Health and Social Science, The Hong Kong Polytechnic University	Kenneth Siu-Sing LEUNG et al (https://dx.doi.org/10.1101/2020.03.30.20045740)
HongKong/HKPU76-0802/2020	Hong Kong	Hong Kong	EPI_ISL_419246	Department of Clinical Pathology, Pamela Youde Nethersole Eastern Hospital	Asia	Asia	Department of Health Technology and Informatics, Faculty of Health and Social Science, The Hong Kong Polytechnic University	Kenneth Siu-Sing LEUNG et al (https://dx.doi.org/10.1101/2020.03.30.20045740)
HongKong/HKPU86-1802/2020	Hong Kong	Hong Kong	EPI_ISL_419249	Department of Clinical Pathology, Pamela Youde Nethersole Eastern Hospital	Asia	Asia	Department of Health Technology and Informatics, Faculty of Health and Social Science, The Hong Kong Polytechnic University	Kenneth Siu-Sing LEUNG et al (https://dx.doi.org/10.1101/2020.03.30.20045740)
HongKong/HKPU34_3001/2020	Hong Kong	Hong Kong	EPI_ISL_417197	Department of Clinical Pathology, Pamela Youde Nethersole Eastern Hospital	Asia	Asia	Department of Health Technology and Informatics, Faculty of Health and Social Science, The Hong Kong Polytechnic University	Kenneth Siu-Sing LEUNG et al (https://dx.doi.org/10.1101/2020.03.30.20045740)
canine/HongKong/20-02756/2020	Hong Kong	Hong Kong	EPI_ISL_414518	Tai Lung Veterinary Laboratory, Agriculture, Fisheries and Conservation Department	Asia	Asia	School of Public Health, The University of Hong Kong	Thomas S.H. Chung et al
HongKong/HKPU90-1602/2020	Hong Kong	Hong Kong	EPI_ISL_419251	Department of Clinical Pathology, Pamela Youde Nethersole Eastern Hospital	Asia	Asia	Department of Health Technology and Informatics, Faculty of Health and Social Science, The Hong Kong Polytechnic University	Kenneth Siu-Sing LEUNG et al (https://dx.doi.org/10.1101/2020.03.30.20045740)
HongKong/VM2003179/2020	Hong Kong	Hong Kong	EPI_ISL_450405		Asia	Asia	School of Public Health	Sit et al
HongKong/VM20002868/2020	Hong Kong	Hong Kong	EPI_ISL_414519	Hong Kong Department of Health	Asia	Asia	School of Public Health, The University of Hong Kong	Dominic N.C. Tsang et al
HongKong/HKPU45-0502/2020	Hong Kong	Hong Kong	EPI_ISL_419221	Department of Pathology, United Christian Hospital	Asia	Asia	Department of Health Technology and Informatics, Faculty of Health and Social Science, The Hong Kong Polytechnic University	Kenneth Siu-Sing LEUNG et al (https://dx.doi.org/10.1101/2020.03.30.20045740)
HongKong/HKPU70-1302/2020	Hong Kong	Hong Kong	EPI_ISL_419243	Department of Clinical Pathology, Pamela Youde Nethersole Eastern Hospital	Asia	Asia	Department of Health Technology and Informatics, Faculty of Health and Social Science, The Hong Kong Polytechnic University	Kenneth Siu-Sing LEUNG et al (https://dx.doi.org/10.1101/2020.03.30.20045740)
HongKong/HKPU65-1202/2020	Hong Kong	Hong Kong	EPI_ISL_419241	Department of Clinical Pathology, Pamela Youde Nethersole Eastern Hospital	Asia	Asia	Department of Health Technology and Informatics, Faculty of Health and Social Science, The Hong Kong Polytechnic University	Kenneth Siu-Sing LEUNG et al (https://dx.doi.org/10.1101/2020.03.30.20045740)
HongKong/HKPU92-1302/2020	Hong Kong	Hong Kong	EPI_ISL_419253	Department of Pathology, United Christian Hospital	Asia	Asia	Department of Health Technology and Informatics, Faculty of Health and Social Science, The Hong Kong Polytechnic University	Kenneth Siu-Sing LEUNG et al (https://dx.doi.org/10.1101/2020.03.30.20045740)
HongKong/HKPU73-0802/2020	Hong Kong	Hong Kong	EPI_ISL_419244	Department of Clinical Pathology, Pamela Youde Nethersole Eastern Hospital	Asia	Asia	Department of Health Technology and Informatics, Faculty of Health and Social Science, The Hong Kong Polytechnic University	Kenneth Siu-Sing LEUNG et al (https://dx.doi.org/10.1101/2020.03.30.20045740)
HongKong/HKPU74-1302/2020	Hong Kong	Hong Kong	EPI_ISL_419245	Department of Clinical Pathology, Pamela Youde Nethersole Eastern Hospital	Asia	Asia	Department of Health Technology and Informatics, Faculty of Health and Social Science, The Hong Kong Polytechnic University	Kenneth Siu-Sing LEUNG et al (https://dx.doi.org/10.1101/2020.03.30.20045740)
HongKong/HKPU91-2002/2020	Hong Kong	Hong Kong	EPI_ISL_419252	Department of Clinical Pathology, Pamela Youde Nethersole Eastern Hospital	Asia	Asia	Department of Health Technology and Informatics, Faculty of Health and Social Science, The Hong Kong Polytechnic University	Kenneth Siu-Sing LEUNG et al (https://dx.doi.org/10.1101/2020.03.30.20045740)
HongKong/HKPU84-2502/2020	Hong Kong	Hong Kong	EPI_ISL_419248	Department of Clinical Pathology, Pamela Youde Nethersole Eastern Hospital	Asia	Asia	Department of Health Technology and Informatics, Faculty of Health and Social Science, The Hong Kong Polytechnic University	Kenneth Siu-Sing LEUNG et al (https://dx.doi.org/10.1101/2020.03.30.20045740)
HongKong/HKPU64-1202/2020	Hong Kong	Hong Kong	EPI_ISL_419232	Department of Clinical Pathology, Pamela Youde Nethersole Eastern Hospital	Asia	Asia	Department of Health Technology and Informatics, Faculty of Health and Social Science, The Hong Kong Polytechnic University	Kenneth Siu-Sing LEUNG et al (https://dx.doi.org/10.1101/2020.03.30.20045740)
HongKong/HKPU89-2502/2020	Hong Kong	Hong Kong	EPI_ISL_419250	Department of Clinical Pathology, Pamela Youde Nethersole Eastern Hospital	Asia	Asia	Department of Health Technology and Informatics, Faculty of Health and Social Science, The Hong Kong Polytechnic University	Kenneth Siu-Sing LEUNG et al (https://dx.doi.org/10.1101/2020.03.30.20045740)
HongKong/HKPU83-1702/2020	Hong Kong	Hong Kong	EPI_ISL_419247	Department of Clinical Pathology, Pamela Youde Nethersole Eastern Hospital	Asia	Asia	Department of Health Technology and Informatics, Faculty of Health and Social Science, The Hong Kong Polytechnic University	Kenneth Siu-Sing LEUNG et al (https://dx.doi.org/10.1101/2020.03.30.20045740)
HongKong/HKPU23_2601/2020	Hong Kong	Hong Kong	EPI_ISL_417183	Department of Clinical Pathology, Pamela Youde Nethersole Eastern Hospital	Asia	Asia	Department of Health Technology and Informatics, Faculty of Health and Social Science, The Hong Kong Polytechnic University	Kenneth Siu-Sing LEUNG et al (https://dx.doi.org/10.1101/2020.03.30.20045740)
HongKong/HKPU32_0402/2020	Hong Kong	Hong Kong	EPI_ISL_417193	Department of Clinical Pathology, Pamela Youde Nethersole Eastern Hospital	Asia	Asia	Department of Health Technology and Informatics, Faculty of Health and Social Science, The Hong Kong Polytechnic University	Kenneth Siu-Sing LEUNG et al (https://dx.doi.org/10.1101/2020.03.30.20045740)
HongKong/HKPU41-0802/2020	Hong Kong	Hong Kong	EPI_ISL_419216	Department of Clinical Pathology, Pamela Youde Nethersole Eastern Hospital	Asia	Asia	Department of Health Technology and Informatics, Faculty of Health and Social Science, The Hong Kong Polytechnic University	Kenneth Siu-Sing LEUNG et al (https://dx.doi.org/10.1101/2020.03.30.20045740)
HongKong/HKPU36-0702/2020	Hong Kong	Hong Kong	EPI_ISL_418815	Department of Clinical Pathology, Pamela Youde Nethersole Eastern Hospital	Asia	Asia	Department of Health Technology and Informatics, Faculty of Health and Social Science, The Hong Kong Polytechnic University	Kenneth Siu-Sing LEUNG et al (https://dx.doi.org/10.1101/2020.03.30.20045740)
HongKong/HKPU30_2901/2020	Hong Kong	Hong Kong	EPI_ISL_417188	Department of Clinical Pathology, Pamela Youde Nethersole Eastern Hospital	Asia	Asia	Department of Health Technology and Informatics, Faculty of Health and Social Science, The Hong Kong Polytechnic University	Kenneth Siu-Sing LEUNG et al (https://dx.doi.org/10.1101/2020.03.30.20045740)
HongKong/HKPU29_0102/2020	Hong Kong	Hong Kong	EPI_ISL_417187	Department of Clinical Pathology, Pamela Youde Nethersole Eastern Hospital	Asia	Asia	Department of Health Technology and Informatics, Faculty of Health and Social Science, The Hong Kong Polytechnic University	Kenneth Siu-Sing LEUNG et al (https://dx.doi.org/10.1101/2020.03.30.20045740)
HongKong/HKPU27_3001/2020	Hong Kong	Hong Kong	EPI_ISL_417184	Department of Clinical Pathology, Pamela Youde Nethersole Eastern Hospital	Asia	Asia	Department of Health Technology and Informatics, Faculty of Health and Social Science, The Hong Kong Polytechnic University	Kenneth Siu-Sing LEUNG et al (https://dx.doi.org/10.1101/2020.03.30.20045740)
HongKong/HKPU33_0202/2020	Hong Kong	Hong Kong	EPI_ISL_417195	Department of Clinical Pathology, Pamela Youde Nethersole Eastern Hospital	Asia	Asia	Department of Health Technology and Informatics, Faculty of Health and Social Science, The Hong Kong Polytechnic University	Kenneth Siu-Sing LEUNG et al (https://dx.doi.org/10.1101/2020.03.30.20045740)
HongKong/HKPU44-0102/2020	Hong Kong	Hong Kong	EPI_ISL_419219	Department of Clinical Pathology, Pamela Youde Nethersole Eastern Hospital	Asia	Asia	Department of Health Technology and Informatics, Faculty of Health and Social Science, The Hong Kong Polytechnic University	Kenneth Siu-Sing LEUNG et al (https://dx.doi.org/10.1101/2020.03.30.20045740)
HongKong/HKPU35_0402/2020	Hong Kong	Hong Kong	EPI_ISL_417199	Department of Clinical Pathology, Pamela Youde Nethersole Eastern Hospital	Asia	Asia	Department of Health Technology and Informatics, Faculty of Health and Social Science, The Hong Kong Polytechnic University	Chong-Yee YAU et al (https://dx.doi.org/10.1101/2020.03.30.20045740)
HongKong/HKPU_2801/2020	Hong Kong	Hong Kong	EPI_ISL_417190	Department of Clinical Pathology, Pamela Youde Nethersole Eastern Hospital	Asia	Asia	Department of Health Technology and Informatics, Faculty of Health and Social Science, The Hong Kong Polytechnic University	Kenneth Siu-Sing LEUNG et al (https://dx.doi.org/10.1101/2020.03.30.20045740)
HongKong/HKPU40-2801/2020	Hong Kong	Hong Kong	EPI_ISL_419215	Department of Clinical Pathology, Pamela Youde Nethersole Eastern Hospital	Asia	Asia	Department of Health Technology and Informatics, Faculty of Health and Social Science, The Hong Kong Polytechnic University	Kenneth Siu-Sing LEUNG et al (https://dx.doi.org/10.1101/2020.03.30.20045740)
HongKong/HKPU39-3001/2020	Hong Kong	Hong Kong	EPI_ISL_419214	Department of Clinical Pathology, Pamela Youde Nethersole Eastern Hospital	Asia	Asia	Department of Health Technology and Informatics, Faculty of Health and Social Science, The Hong Kong Polytechnic University	Kenneth Siu-Sing LEUNG et al (https://dx.doi.org/10.1101/2020.03.30.20045740)
Singapore/7/2020	Singapore	Singapore	EPI_ISL_410713	National Public Health Laboratory, National Centre for Infectious Diseases	Asia	Asia	National Public Health Laboratory, National Centre for Infectious Diseases	Octavia S et al
Beijing/DT-BJ02/2020	Beijing	Beijing	EPI_ISL_452359	Laboratory of Infectious Diseases Center of Beijing Ditan Hospital	Asia	Asia	Laboratory of Infectious Diseases Center of Beijing Ditan Hospital	Siyuan Yang et al
France/IDF0373/2020	Europe	Asia	EPI_ISL_406597	Department of Infectious and Tropical Diseases, Bichat Claude Bernard Hospital, Paris	Europe	Asia	National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris	Mélanie Albert et al A (https://dx.doi.org/10.1101/2020.04.24.059576)
France/IDF0372/2020	Europe	Asia	EPI_ISL_406596	Department of Infectious and Tropical Diseases, Bichat Claude Bernard Hospital, Paris	Europe	Asia	National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris	Mélanie Albert et al A (https://dx.doi.org/10.1101/2020.04.24.059576)
France/IDF0386-islP1/2020	Europe	Europe	EPI_ISL_411219	Department of Infectious and Tropical Diseases, Bichat Claude Bernard Hospital, Paris	Europe	Europe	Laboratoire Virpath, CIRI U111, UCBL1, INSERM, CNRS, ENS Lyon	Olivier Terrier et al (https://dx.doi.org/10.2807/1560-7917.ES.2020.25.13.2000305)
HongKong/HKPU12_2201/2020	Hong Kong	Hong Kong	EPI_ISL_417179	Department of Pathology, Princess Margaret Hospital	Asia	Asia	Department of Health Technology and Informatics, Faculty of Health and Social Science, The Hong Kong Polytechnic University	Kenneth Siu-Sing LEUNG et al (https://dx.doi.org/10.1101/2020.03.30.20045740)
Shanghai/SH0040/2020	Shanghai	Shanghai	EPI_ISL_416349	Shanghai Public Health Clinical Center, Shanghai Medical College, Fudan University	Asia	Asia	National Research Center for Translational Medicine (Shanghai), Ruijin Hospital affiliated to Shanghai Jiao Tong University School of Medicine & Shanghai Public Health Clinical Center	Shengyue Wang et al
Guangdong/20SF1136/2020	Guangdong	Guangdong	EPI_ISL_428442	Guangdong Provincial Center for Diseases Control and Prevention;Guangdong Provincial Institute of Public Health	Asia	Asia	School of Public Health, The University of Hong Kong	Bosheng Li et al
Sichuan/SC-WCH-311/2020	Sichuan	Sichuan	EPI_ISL_451381	West China Hospital of Sichuan University	Asia	Asia	State Key Laboratory of Biotherapy of Sichuan University	Baowen Du et al A
Fuzhou/JX2019/2020	Jiangxi	Jiangxi	EPI_ISL_455465	Jiangxi Province Center for Disease Control and Prevention	Asia	Asia	Jiangxi Province Center for Disease Control and Prevention	JianXiong Li et al
Thailand/Nonthaburi_363/2020	Nonthaburi	Nonthaburi	EPI_ISL_447917		Asia	Asia	National Institute of Health. Department of medical Sciences, Ministry of Public Health, Thailand	Pilailuk et al A
Thailand/SI200893-NT/2020	Thailand	Thailand	EPI_ISL_437624		Asia	Asia	Faculty of Medicine	Rodpan et al
Australia/VIC03/2020	Oceania	Oceania	EPI_ISL_416411	Victorian Infectious Diseases Reference Laboratory (VIDRL)	Oceania	Oceania	Victorian Infectious Diseases Reference Laboratory and Microbiological Diagnostic Unit Public Health Laboratory, Doherty Institute	Caly L. et al A (https://dx.doi.org/10.1101/2020.05.12.20099929)
Australia/NSW03/2020	Oceania	Asia	EPI_ISL_408977	Serology, Virology and OTDS Laboratories (SAViD), NSW Health Pathology Randwick	Oceania	Asia	NSW Health Pathology - Institute of Clinical Pathology and Medical Research; Centre for Infectious Diseases and Microbiology Laboratory Services; Westmead Hospital; University of Sydney	Eden J-S et al (https://dx.doi.org/10.1101/2020.04.19.048751)
Singapore/8/2020	Singapore	Singapore	EPI_ISL_410714	National Public Health Laboratory, National Centre for Infectious Diseases	Asia	Asia	National Public Health Laboratory, National Centre for Infectious Diseases	Octavia S et al
Singapore/9/2020	Singapore	Singapore	EPI_ISL_410715	National Public Health Laboratory, National Centre for Infectious Diseases	Asia	Asia	National Public Health Laboratory, National Centre for Infectious Diseases	Octavia S et al
Singapore/10/2020	Singapore	Singapore	EPI_ISL_410716	National Public Health Laboratory, National Centre for Infectious Diseases	Asia	Asia	National Centre for Infectious Diseases, National Centre for Infectious Diseases	Octavia S et al
Singapore/5/2020	Singapore	Singapore	EPI_ISL_410536	Singapore General Hospital, Molecular Laboratory, Division of Pathology	Asia	Asia	Programme in Emerging Infectious Diseases, Duke-NUS Medical School	Danielle E Anderson et al A (https://dx.doi.org/doi/10.1101/2020.03.11.987222)
Singapore/186/2020	Singapore	Singapore	EPI_ISL_462304	National Public Health Laboratory, National Centre for Infectious Diseases	Asia	Asia	National Public Health Laboratory, National Centre for Infectious Diseases	Mak TM et al
Singapore/17/2020	Singapore	Singapore	EPI_ISL_418992	National Public Health Laboratory, National Centre for Infectious Diseases	Asia	Asia	National Public Health Laboratory, National Centre for Infectious Diseases	Mak TM et al
Thailand/Bangkok_269/2020	Bangkok	Bangkok	EPI_ISL_447915		Asia	Asia	National Institute of Health. Department of medical Sciences, Ministry of Public Health, Thailand	Pilailuk et al A
Thailand/SI200478-NST/2020	Thailand	Thailand	EPI_ISL_437619		Asia	Asia	Faculty of Medicine	Rodpan et al
Guangdong/20SF198/2020	Guangdong	Guangdong	EPI_ISL_428454	Guangdong Provincial Center for Diseases Control and Prevention;Guangdong Provincial Institute of Public Health	Asia	Asia	School of Public Health, The University of Hong Kong	Bosheng Li et al
Sichuan/SC-PHCC1-035/2020	Sichuan	Sichuan	EPI_ISL_451356	West China Hospital of Sichuan University	Asia	Asia	State Key Laboratory of Biotherapy of Sichuan University	Baowen Du et al A
Wuhan/HB-WH2-148/2020	Hubei	Hubei	EPI_ISL_454920	Wuhan Chain Medical Labs (CMLabs)	Asia	Asia	State Key Laboratory of Biotherapy of Sichuan University	Baowen Du et al A
Wuhan/HB-WH4-212/2020	Hubei	Hubei	EPI_ISL_454961	Wuhan Chain Medical Labs (CMLabs)	Asia	Asia	State Key Laboratory of Biotherapy of Sichuan University	Baowen Du et al A
Sichuan/SC-GA-065/2020	Sichuan	Sichuan	EPI_ISL_451316	West China Hospital of Sichuan University	Asia	Asia	State Key Laboratory of Biotherapy of Sichuan University	Baowen Du et al A
HongKong/VM20002582-2/2020	Hong Kong	Hong Kong	EPI_ISL_414569	Hong Kong Department of Health	Asia	Asia	School of Public Health, The University of Hong Kong	Dominic N.C. Tsang et al
HongKong/HKPU52-3101/2020	Hong Kong	Hong Kong	EPI_ISL_419224	Department of Clinical Pathology, Pamela Youde Nethersole Eastern Hospital	Asia	Asia	Department of Health Technology and Informatics, Faculty of Health and Social Science, The Hong Kong Polytechnic University	Kenneth Siu-Sing LEUNG et al (https://dx.doi.org/10.1101/2020.03.30.20045740)
Wuhan/HB-WH4-211/2020	Hubei	Hubei	EPI_ISL_454960	Wuhan Chain Medical Labs (CMLabs)	Asia	Asia	State Key Laboratory of Biotherapy of Sichuan University	Baowen Du et al A
HongKong/HKPU49-3001/2020	Hong Kong	Hong Kong	EPI_ISL_419223	Department of Pathology, Princess Margaret Hospital	Asia	Asia	Department of Health Technology and Informatics, Faculty of Health and Social Science, The Hong Kong Polytechnic University	Kenneth Siu-Sing LEUNG et al (https://dx.doi.org/10.1101/2020.03.30.20045740)
HongKong/HKPU17_2201/2020	Hong Kong	Hong Kong	EPI_ISL_417180	Department of Pathology, United Christian Hospital	Asia	Asia	Department of Health Technology and Informatics, Faculty of Health and Social Science, The Hong Kong Polytechnic University	Kenneth Siu-Sing LEUNG et al (https://dx.doi.org/10.1101/2020.03.30.20045740)
HongKong/HKPU28_3001/2020	Hong Kong	Hong Kong	EPI_ISL_417185	Department of Pathology, United Christian Hospital	Asia	Asia	Department of Health Technology and Informatics, Faculty of Health and Social Science, The Hong Kong Polytechnic University	Kenneth Siu-Sing LEUNG et al (https://dx.doi.org/10.1101/2020.03.30.20045740)
Wuhan/HB-WHCM-109/2020	Hubei	Hubei	EPI_ISL_454992	Wuhan Chain Medical Labs (CMLabs)	Asia	Asia	State Key Laboratory of Biotherapy of Sichuan University	Baowen Du et al A
Korea/KCDC2001/2020	South Korea	South Korea	EPI_ISL_425117	Division of Viral Diseases, Center for Laboratory Control of Infectious Diseases, Korea Centers for Diseases Control and Prevention	Asia	Asia	Division of Viral Diseases, Center for Laboratory Control of Infectious Diseases, Korea Centers for Diseases Control and Prevention	Jeong-Min Kim et al B
Wuhan/HB-WHCM-113/2020	Hubei	Hubei	EPI_ISL_454993	Wuhan Chain Medical Labs (CMLabs)	Asia	Asia	State Key Laboratory of Biotherapy of Sichuan University	Baowen Du et al A
Wuhan/HB-WHCM-098/2020	Hubei	Hubei	EPI_ISL_454985	Wuhan Chain Medical Labs (CMLabs)	Asia	Asia	State Key Laboratory of Biotherapy of Sichuan University	Baowen Du et al A
Oman/RESP-20-2857/2020	Muscat	Muscat	EPI_ISL_457978	Oman-NIC	Asia	Asia	Oman-NIC	Samira Al-Maruqi et al
Oman/RESP-20-4028/2020	Muscat	Muscat	EPI_ISL_457987	Oman-NIC	Asia	Asia	Oman-NIC	Samira Al-Maruqi et al
Wuhan/HB-WH5-236/2020	Hubei	Hubei	EPI_ISL_454977	Wuhan Chain Medical Labs (CMLabs)	Asia	Asia	State Key Laboratory of Biotherapy of Sichuan University	Baowen Du et al A
Guangzhou/GZMU0030/2020	Guangdong	Guangdong	EPI_ISL_414686	State Key Laboratory of Respiratory Disease, National Clinical Research Center for Respiratory Disease, Guangzhou Institute of Respiratory Health, the First Affiliated Hospital of Guangzhou Medical University	Asia	Asia	The First Affiliated Hospital of Guangzhou Medical University & BGI-Shenzhen	Zhao et al et al
China/WH-09/2020	Hubei	Hubei	EPI_ISL_411957		Asia	Asia	Key Laboratory of Human Diseases, Comparative Medicine, Institute of Laboratory Animal Science	Linlin et al
Wuhan/Hu-1/2019	Hubei	Hubei	EPI_ISL_402125		Asia	Asia	National Institute for Communicable Disease Control and Prevention (ICDC) Chinese Center for Disease Control and Prevention (China CDC)	Zhang et al A (https://dx.doi.org/10.1038/s41586-020-2008-3)
Wuhan/WIV04/2019	Hubei	Hubei	EPI_ISL_402124	Wuhan Jinyintan Hospital	Asia	Asia	Wuhan Institute of Virology, Chinese Academy of Sciences	Peng Zhou et al
